lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
31103,Nafarroa Garaia,Ezporogi,Ezprogui,46,,,,,,,,,,,"0,0",,"19,17"
31104,Nafarroa Garaia,Faltzes,Falces,2.443,,,,,,,,,,,"0,0",,"3,31"
31105,Nafarroa Garaia,Fitero,Fitero,2.062,,,,,,,,,,,"0,0",,"6,04"
31106,Nafarroa Garaia,Fontellas,Fontellas,958,,,,,,,,,,,"0,0",,"1,75"
31107,Nafarroa Garaia,Funes,Funes,2.488,,,,,,,,,,,"0,0",,"0,64"
31108,Nafarroa Garaia,Fustiñana,Fustiñana,2.528,,,,,,,,,,,"0,0",,"0,94"
31109,Nafarroa Garaia,Galar,Galar,2.007,,,,,,,,,,,"27,1",,"4,65"
31110,Nafarroa Garaia,Galipentzu,Gallipienzo <> Galipentzu,115,,,,,,,,,,,"0,0",,"5,30"
31111,Nafarroa Garaia,Galoze,Gallués <> Galoze,97,,,,,,,,,,,"0,0",,"10,33"
31112,Nafarroa Garaia,Garaioa,Garaioa,95,,,,,,,,,,,"0,0",,"22,22"
31113,Nafarroa Garaia,Garde,Garde,161,,,,,,,,,,,"0,0",,"3,21"
31114,Nafarroa Garaia,Garinoain,Garínoain,495,,,,,,,,,,,"0,0",,"4,66"
31115,Nafarroa Garaia,Garralda,Garralda,186,,,,,,,,,,,"0,0",,"47,00"
31116,Nafarroa Garaia,Genevilla,Genevilla,73,,,,,,,,,,,"0,0",,"7,73"
31117,Nafarroa Garaia,Goizueta,Goizueta,747,,,,,,,,,2017-06-18,,"0,0",,"96,73"
31118,Nafarroa Garaia,Goñerri,Goñi,170,,,,,,,,,,,"0,0",,"5,44"
31119,Nafarroa Garaia,Gorza,Güesa <> Gorza,45,,,,,,,,,,,"0,0",,"5,56"
31120,Nafarroa Garaia,Gesalatz,Guesálaz <> Gesalatz,456,,,,,,,,,,,"0,0",,"13,57"
31121,Nafarroa Garaia,Girgillao,Guirguillano,86,,,,,,,,,,,"0,0",,"16,86"
31122,Nafarroa Garaia,Uharte,Huarte <> Uharte,6.941,,,,,,,,,,,"0,0",,"20,11"
31123,Nafarroa Garaia,Uharte Arakil,Uharte-Arakil,839,,,,,,,,,2017-06-18,,"24,9",,"36,55"
31124,Nafarroa Garaia,Ibargoiti,Ibargoiti,248,,,,,,,,,,,"0,0",,"7,33"
31125,Nafarroa Garaia,Iguzkitza,Igúzquiza,333,,,,,,,,,,,"0,0",,"10,47"
31126,Nafarroa Garaia,Imotz,Imotz,434,,,,,,,,,2017-06-18,,"0,0",,"69,25"
31127,Nafarroa Garaia,Irañeta,Irañeta,171,,,,,,,,,,,"0,0",,"44,19"
31128,Nafarroa Garaia,Izaba,Isaba <> Izaba,474,,,,,,,,,,,"0,0",,"18,73"
