lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
31028,Nafarroa Garaia,Artzibar,Arce <> Artzi,282,,,,,,,,,,,"22,6"
31029,Nafarroa Garaia,Los Arcos,Los Arcos,1.167,,,,,,,,,,,"0,0"
31030,Nafarroa Garaia,Arellano,Arellano,184,,,,,,,,,,,"0,0"
31031,Nafarroa Garaia,Areso,Areso,266,,,,,,,,,,,"0,0"
31032,Nafarroa Garaia,Arguedas,Arguedas,2.313,,,,,,,,,,,"0,0"
31033,Nafarroa Garaia,Aria,Aria,55,,,,,,,,,,,"0,0"
31034,Nafarroa Garaia,Aribe,Aribe,44,,,,,,,,,,,"14,2"
31035,Nafarroa Garaia,Armañantzas,Armañanzas,61,,,,,,,,,,,"0,0"
31036,Nafarroa Garaia,Arroitz,Arróniz,1.078,,,,,,,,,,,"0,0"
31037,Nafarroa Garaia,Arruazu,Arruazu,111,,,,,,,,,,,"0,0"
31038,Nafarroa Garaia,Artaxoa,Artajona,1.697,,,,,,,,,,,"0,0"
31039,Nafarroa Garaia,Artazu,Artazu,118,,,,,,,,,,,"0,0"
31040,Nafarroa Garaia,Atetz,Atez,218,,,,,,,,,,,"0,0"
31041,Nafarroa Garaia,Aiegi,Ayegui <> Aiegi,2.191,,,,,,,,,,,"0,0"
31042,Nafarroa Garaia,Azagra,Azagra,3.801,,,,,,,,,,,"0,0"
31043,Nafarroa Garaia,Azuelo,Azuelo,37,,,,,,,,,,,"24,8"
31044,Nafarroa Garaia,Bakaiku,Bakaiku,336,,,,,,,,,2016-11,,"0,0"
31045,Nafarroa Garaia,Barasoain,Barásoain,676,,,,,,,,,,,"0,0"
31046,Nafarroa Garaia,Barbarin,Barbarin,63,,,,,,,,,,,"0,0"
31047,Nafarroa Garaia,Bargota,Bargota,295,,,,,,,,,,,"0,0"
31048,Nafarroa Garaia,Barillas,Barillas,201,,,,,,,,,,,"0,0"
31049,Nafarroa Garaia,Basaburua,Basaburua,871,,,,,,,,,,,"0,0"
31050,Nafarroa Garaia,Baztan,Baztan,7.848,,,,,,,,,,,"0,0"
31051,Nafarroa Garaia,Beire,Beire,303,,,,,,,,,,,"0,0"
31052,Nafarroa Garaia,Beraskoain,Belascoáin,124,,,,,,,,,,,"37,0"
31053,Nafarroa Garaia,Berbintzana,Berbinzana,673,,,,,,,,,,,"0,0"
31054,Nafarroa Garaia,Bertizarana,Bertizarana,602,,,,,,,,,,,"0,0"
31055,Nafarroa Garaia,Betelu,Betelu,332,,,,,,,,,,,"11,9"
31056,Nafarroa Garaia,Biurrun-Olkotz,Biurrun-Olcoz,223,,,,,,,,,,,"35,3"
31057,Nafarroa Garaia,Buñuel,Buñuel,2.279,,,,,,,,,,,"0,0"
31058,Nafarroa Garaia,Auritz,Auritz/Burguete,260,,,,,,,,,,,"0,0"
31059,Nafarroa Garaia,Burgi,Burgui <> Burgi,229,,,,,,,,,,,"0,0"
31060,Nafarroa Garaia,Burlata,Burlada <> Burlata,18.237,,,,,,,,,,,"0,0"
31061,Nafarroa Garaia,El Busto,El Busto,70,,,,,,,,,,,"0,0"
31062,Nafarroa Garaia,Cabanillas,Cabanillas,1.429,,,,,,,,,,,"0,0"
31063,Nafarroa Garaia,Cabredo,Cabredo,102,,,,,,,,,,,"15,7"
31064,Nafarroa Garaia,Cadreita,Cadreita,2.046,,,,,,,,,,,"0,0"
31065,Nafarroa Garaia,Caparroso,Caparroso,2.794,,,,,,,,,,,"20,3"
31066,Nafarroa Garaia,Cárcar,Cárcar,1.081,,,,,,,,,,,"0,0"
31067,Nafarroa Garaia,Zarrakaztelu,Carcastillo,2.504,,,,,,,,,,,"0,0"
31068,Nafarroa Garaia,Cascante,Cascante,3.888,,,,,,,,,,,"0,0"
31069,Nafarroa Garaia,Kaseda,Cáseda,1.014,,,,,,,,,,,"0,0"
31070,Nafarroa Garaia,Castejón,Castejón,4.120,,,,,,,,,,,"24,6"
31071,Nafarroa Garaia,Gazteluberri,Castillo-Nuevo,18,,,,,,,,,,,"0,0"
31072,Nafarroa Garaia,Cintruénigo,Cintruénigo,7.768,,,,,,,,,,,"0,0"
31073,Nafarroa Garaia,Ziordia,Ziordia,380,,,,,,,,,,,"0,0"
31074,Nafarroa Garaia,Zirauki,Cirauqui <> Zirauki,491,,,,,,,,,,,"0,0"
31075,Nafarroa Garaia,Ziritza,Ciriza <> Ziritza,123,,,,,,,,,,,"0,0"
31076,Nafarroa Garaia,Zizur,Cizur,3.796,,,,,,,,,,,"0,0"
31077,Nafarroa Garaia,Corella,Corella,7.753,,,,,,,,,,,"0,0"
31078,Nafarroa Garaia,Cortes,Cortes,3.199,,,,,,,,,,,"0,0"
31079,Nafarroa Garaia,Desoio,Desojo,83,,,,,,,,,,,"0,0"
31080,Nafarroa Garaia,Deikaztelu,Dicastillo,639,,,,,,,,,,,"0,0"
31081,Nafarroa Garaia,Donamaria,Donamaria,456,,,,,,,,,,,"0,0"
31082,Nafarroa Garaia,Etxalar,Etxalar,819,,,,,,,,,,,"0,0"
31083,Nafarroa Garaia,Etxarri,Echarri,78,,,,,,,,,,,"0,0"
31084,Nafarroa Garaia,Etxarri-Aranatz,Etxarri-Aranatz,2.491,bai,804,18,26,3,1990,851,"42,76",2014-04-13,Nahi duzu Euskal Herria independiente bateko herritarra izan?,"16,9"
31085,Nafarroa Garaia,Etxauri,Etxauri,586,,,,,,,,,,,"0,0"
31086,Nafarroa Garaia,Eguesibar,Egüés,19.014,,,,,,,,,,,"0,0"
31087,Nafarroa Garaia,Elgorriaga,Elgorriaga,226,,,,,,,,,,,"0,0"
31088,Nafarroa Garaia,Noain Elortzibar,Noáin (Valle de Elorz) <> Noain (Elortzibar),7.837,,,,,,,,,,,"0,0"
31089,Nafarroa Garaia,Eneritz,Enériz <> Eneritz,334,,,,,,,,,,,"0,0"
